dayofyear,dayofweek,workday,weathertype,temp,humidity,windspeed,rentals
0,6,0,2,0.344167,0.805833,0.160446,985
1,0,0,2,0.363478,0.696087,0.248539,801
2,1,1,1,0.196364,0.437273,0.248309,1349
3,2,1,1,0.2,0.590435,0.160296,1562
4,3,1,1,0.226957,0.436957,0.1869,1600
5,4,1,1,0.204348,0.518261,0.0895652,1606
6,5,1,2,0.196522,0.498696,0.168726,1510
7,6,0,2,0.165,0.535833,0.266804,959
8,0,0,1,0.138333,0.434167,0.36195,822
9,1,1,1,0.150833,0.482917,0.223267,1321
10,2,1,2,0.169091,0.686364,0.122132,1263
11,3,1,1,0.172727,0.599545,0.304627,1162
12,4,1,1,0.165,0.470417,0.301,1406
13,5,1,1,0.16087,0.537826,0.126548,1421
14,6,0,2,0.233333,0.49875,0.157963,1248
15,0,0,1,0.231667,0.48375,0.188433,1204
16,1,0,2,0.175833,0.5375,0.194017,1000
17,2,1,2,0.216667,0.861667,0.146775,683
18,3,1,2,0.292174,0.741739,0.208317,1650
19,4,1,2,0.261667,0.538333,0.195904,1927
20,5,1,1,0.1775,0.457083,0.353242,1543
21,6,0,1,0.0591304,0.4,0.17197,981
22,0,0,1,0.0965217,0.436522,0.2466,986
23,1,1,1,0.0973913,0.491739,0.15833,1416
24,2,1,2,0.223478,0.616957,0.129796,1985
25,3,1,3,0.2175,0.8625,0.29385,506
26,4,1,1,0.195,0.6875,0.113837,431
27,5,1,2,0.203478,0.793043,0.1233,1167
28,6,0,1,0.196522,0.651739,0.145365,1098
29,0,0,1,0.216522,0.722174,0.0739826,1096
30,1,1,2,0.180833,0.60375,0.187192,1501
31,2,1,2,0.192174,0.829565,0.053213,1360
32,3,1,2,0.26,0.775417,0.264308,1526
33,4,1,1,0.186957,0.437826,0.277752,1550
34,5,1,2,0.211304,0.585217,0.127839,1708
35,6,0,2,0.233333,0.929167,0.161079,1005
36,0,0,1,0.285833,0.568333,0.1418,1623
37,1,1,1,0.271667,0.738333,0.0454083,1712
38,2,1,1,0.220833,0.537917,0.36195,1530
39,3,1,2,0.134783,0.494783,0.188839,1605
40,4,1,1,0.144348,0.437391,0.221935,1538
41,5,1,1,0.189091,0.506364,0.10855,1746
42,6,0,1,0.2225,0.544167,0.203367,1472
43,0,0,1,0.316522,0.457391,0.260883,1589
44,1,1,1,0.415,0.375833,0.417908,1913
45,2,1,1,0.266087,0.314348,0.291374,1815
46,3,1,1,0.318261,0.423478,0.251791,2115
47,4,1,1,0.435833,0.505,0.230104,2475
48,5,1,1,0.521667,0.516667,0.264925,2927
49,6,0,1,0.399167,0.187917,0.507463,1635
50,0,0,1,0.285217,0.407826,0.223235,1812
51,1,0,2,0.303333,0.605,0.307846,1107
52,2,1,1,0.182222,0.577778,0.195683,1450
53,3,1,1,0.221739,0.423043,0.094113,1917
54,4,1,2,0.295652,0.697391,0.250496,1807
55,5,1,2,0.364348,0.712174,0.346539,1461
56,6,0,1,0.2825,0.537917,0.186571,1969
57,0,0,1,0.343478,0.68,0.125248,2402
58,1,1,2,0.407273,0.876364,0.289686,1446
59,2,1,1,0.266667,0.535,0.216425,1851
60,3,1,1,0.335,0.449583,0.307833,2134
61,4,1,1,0.198333,0.318333,0.225754,1685
62,5,1,2,0.261667,0.610417,0.203346,1944
63,6,0,2,0.384167,0.789167,0.251871,2077
64,0,0,2,0.376522,0.948261,0.343287,605
65,1,1,1,0.261739,0.551304,0.341352,1872
66,2,1,1,0.2925,0.420833,0.12065,2133
67,3,1,2,0.295833,0.775417,0.22015,1891
68,4,1,3,0.389091,0,0.261877,623
69,5,1,2,0.316522,0.649565,0.23297,1977
70,6,0,1,0.329167,0.594583,0.220775,2132
71,0,0,1,0.384348,0.527391,0.270604,2417
72,1,1,1,0.325217,0.496957,0.136926,2046
73,2,1,2,0.317391,0.655652,0.184309,2056
74,3,1,2,0.365217,0.776522,0.203117,2192
75,4,1,1,0.415,0.602917,0.209579,2744
76,5,1,1,0.54,0.525217,0.231017,3239
77,6,0,1,0.4725,0.379167,0.368167,3117
78,0,0,1,0.3325,0.47375,0.207721,2471
79,1,1,2,0.430435,0.737391,0.288783,2077
80,2,1,1,0.441667,0.624583,0.22575,2703
81,3,1,2,0.346957,0.839565,0.234261,2121
82,4,1,2,0.285,0.805833,0.243787,1865
83,5,1,1,0.264167,0.495,0.230725,2210
84,6,0,1,0.265833,0.394167,0.209571,2496
85,0,0,2,0.253043,0.493913,0.1843,1693
86,1,1,1,0.264348,0.302174,0.212204,2028
87,2,1,1,0.3025,0.314167,0.226996,2425
88,3,1,2,0.3,0.646667,0.172888,1536
89,4,1,3,0.268333,0.918333,0.217646,1685
90,5,1,2,0.3,0.68625,0.258708,2227
91,6,0,2,0.315,0.65375,0.197146,2252
92,0,0,1,0.378333,0.48,0.182213,3249
93,1,1,1,0.573333,0.42625,0.385571,3115
94,2,1,2,0.414167,0.642083,0.388067,1795
95,3,1,1,0.390833,0.470833,0.263063,2808
96,4,1,1,0.4375,0.602917,0.162312,3141
97,5,1,2,0.335833,0.83625,0.226992,1471
98,6,0,2,0.3425,0.8775,0.133083,2455
99,0,0,2,0.426667,0.8575,0.146767,2895
100,1,1,2,0.595652,0.716956,0.324474,3348
101,2,1,2,0.5025,0.739167,0.274879,2034
102,3,1,2,0.4125,0.819167,0.250617,2162
103,4,1,1,0.4675,0.540417,0.1107,3267
104,5,0,1,0.446667,0.67125,0.226375,3126
105,6,0,3,0.430833,0.888333,0.340808,795
106,0,0,1,0.456667,0.479583,0.303496,3744
107,1,1,1,0.5125,0.5425,0.163567,3429
108,2,1,2,0.505833,0.665833,0.157971,3204
109,3,1,1,0.595,0.614167,0.241925,3944
110,4,1,1,0.459167,0.407083,0.325258,4189
111,5,1,2,0.336667,0.729583,0.219521,1683
112,6,0,2,0.46,0.887917,0.230725,4036
113,0,0,2,0.581667,0.810833,0.192175,4191
114,1,1,1,0.606667,0.776667,0.185333,4073
115,2,1,1,0.631667,0.729167,0.3265,4400
116,3,1,2,0.62,0.835417,0.3122,3872
117,4,1,2,0.6175,0.700833,0.320908,4058
118,5,1,1,0.51,0.457083,0.240063,4595
119,6,0,1,0.4725,0.503333,0.235075,5312
120,0,0,2,0.451667,0.762083,0.106354,3351
121,1,1,2,0.549167,0.73,0.183454,4401
122,2,1,2,0.616667,0.697083,0.342667,4451
123,3,1,2,0.414167,0.737083,0.328996,2633
124,4,1,1,0.459167,0.444167,0.295392,4433
125,5,1,1,0.479167,0.59,0.228246,4608
126,6,0,1,0.52,0.54125,0.16045,4714
127,0,0,1,0.528333,0.631667,0.0746375,4333
128,1,1,1,0.5325,0.58875,0.176,4362
129,2,1,1,0.5325,0.489167,0.115671,4803
130,3,1,1,0.5425,0.632917,0.120642,4182
131,4,1,1,0.535,0.7475,0.189667,4864
132,5,1,2,0.5125,0.863333,0.179725,4105
133,6,0,2,0.520833,0.9225,0.13495,3409
134,0,0,2,0.5625,0.867083,0.152979,4553
135,1,1,1,0.5775,0.787917,0.126871,3958
136,2,1,2,0.561667,0.837917,0.277354,4123
137,3,1,2,0.55,0.87,0.201492,3855
138,4,1,2,0.530833,0.829583,0.108213,4575
139,5,1,1,0.536667,0.719583,0.125013,4917
140,6,0,1,0.6025,0.626667,0.12065,5805
141,0,0,1,0.604167,0.749583,0.148008,4660
142,1,1,2,0.631667,0.81,0.233842,4274
143,2,1,2,0.66,0.740833,0.207092,4492
144,3,1,1,0.660833,0.69625,0.154233,4978
145,4,1,1,0.708333,0.6775,0.199642,4677
146,5,1,1,0.681667,0.65375,0.240679,4679
147,6,0,1,0.655833,0.729583,0.230092,4758
148,0,0,1,0.6675,0.81875,0.213938,4788
149,1,0,1,0.733333,0.685,0.131225,4098
150,2,1,1,0.775,0.636667,0.111329,3982
151,3,1,2,0.764167,0.677083,0.207092,3974
152,4,1,1,0.715,0.305,0.292287,4968
153,5,1,1,0.62,0.354167,0.253121,5312
154,6,0,1,0.635,0.45625,0.123142,5342
155,0,0,2,0.648333,0.6525,0.138692,4906
156,1,1,1,0.678333,0.6,0.121896,4548
157,2,1,1,0.7075,0.597917,0.187808,4833
158,3,1,1,0.775833,0.622083,0.136817,4401
159,4,1,2,0.808333,0.568333,0.149883,3915
160,5,1,1,0.755,0.605,0.140554,4586
161,6,0,1,0.725,0.654583,0.15485,4966
162,0,0,1,0.6925,0.747917,0.163567,4460
163,1,1,1,0.635,0.494583,0.30535,5020
164,2,1,1,0.604167,0.507083,0.269283,4891
165,3,1,1,0.626667,0.471667,0.167912,5180
166,4,1,2,0.628333,0.688333,0.206471,3767
167,5,1,1,0.649167,0.735833,0.143029,4844
168,6,0,1,0.696667,0.670417,0.119408,5119
169,0,0,2,0.699167,0.666667,0.102,4744
170,1,1,2,0.635,0.74625,0.155475,4010
171,2,1,2,0.680833,0.770417,0.171025,4835
172,3,1,1,0.733333,0.7075,0.172262,4507
173,4,1,2,0.728333,0.703333,0.238804,4790
174,5,1,1,0.724167,0.573333,0.222025,4991
175,6,0,1,0.695,0.483333,0.209571,5202
176,0,0,1,0.68,0.513333,0.0945333,5305
177,1,1,2,0.6825,0.658333,0.107588,4708
178,2,1,1,0.744167,0.634167,0.144283,4648
179,3,1,1,0.728333,0.497917,0.261821,5225
180,4,1,1,0.696667,0.434167,0.185312,5515
181,5,1,1,0.7225,0.39625,0.102608,5362
182,6,0,1,0.738333,0.444583,0.115062,5119
183,0,0,2,0.716667,0.6825,0.228858,4649
184,1,0,2,0.726667,0.637917,0.0814792,6043
185,2,1,1,0.746667,0.590417,0.126258,4665
186,3,1,1,0.72,0.743333,0.149883,4629
187,4,1,1,0.75,0.65125,0.1592,4592
188,5,1,2,0.709167,0.757917,0.225129,4040
189,6,0,1,0.733333,0.609167,0.167912,5336
190,0,0,1,0.7475,0.578333,0.183471,4881
191,1,1,1,0.7625,0.635833,0.282337,4086
192,2,1,1,0.794167,0.559167,0.200254,4258
193,3,1,1,0.746667,0.631667,0.146133,4342
194,4,1,1,0.680833,0.47625,0.240667,5084
195,5,1,1,0.663333,0.59125,0.182833,5538
196,6,0,1,0.686667,0.585,0.208342,5923
197,0,0,1,0.719167,0.604167,0.245033,5302
198,1,1,1,0.746667,0.65125,0.215804,4458
199,2,1,1,0.776667,0.650417,0.1306,4541
200,3,1,1,0.768333,0.707083,0.113817,4332
201,4,1,2,0.815,0.69125,0.222021,3784
202,5,1,1,0.848333,0.580417,0.1331,3387
203,6,0,1,0.849167,0.5,0.131221,3285
204,0,0,1,0.83,0.550833,0.169171,3606
205,1,1,1,0.743333,0.757083,0.0908083,3840
206,2,1,1,0.771667,0.540833,0.200258,4590
207,3,1,1,0.775,0.402917,0.183463,4656
208,4,1,1,0.779167,0.583333,0.178479,4390
209,5,1,1,0.838333,0.5425,0.174138,3846
210,6,0,1,0.804167,0.465833,0.168537,4475
211,0,0,1,0.805833,0.480833,0.164813,4302
212,1,1,1,0.771667,0.550833,0.156717,4266
213,2,1,1,0.783333,0.49125,0.20585,4845
214,3,1,2,0.731667,0.6575,0.135583,3574
215,4,1,2,0.71,0.7575,0.19715,4576
216,5,1,1,0.710833,0.630833,0.184696,4866
217,6,0,2,0.716667,0.755,0.22825,4294
218,0,0,1,0.7425,0.752917,0.201487,3785
219,1,1,1,0.765,0.592083,0.192175,4326
220,2,1,1,0.775,0.570417,0.151121,4602
221,3,1,1,0.766667,0.424167,0.200258,4780
222,4,1,1,0.7175,0.42375,0.164796,4792
223,5,1,1,0.708333,0.415,0.125621,4905
224,6,0,2,0.685833,0.729583,0.211454,4150
225,0,0,2,0.676667,0.8175,0.222633,3820
226,1,1,1,0.665833,0.712083,0.208954,4338
227,2,1,1,0.700833,0.578333,0.236329,4725
228,3,1,1,0.723333,0.575417,0.143667,4694
229,4,1,1,0.711667,0.654583,0.233208,3805
230,5,1,2,0.685,0.722917,0.139308,4153
231,6,0,1,0.6975,0.674167,0.104467,5191
232,0,0,1,0.710833,0.77,0.248754,3873
233,1,1,1,0.691667,0.47,0.27675,4758
234,2,1,1,0.640833,0.455417,0.146763,5895
235,3,1,1,0.673333,0.605,0.253108,5130
236,4,1,2,0.684167,0.771667,0.210833,3542
237,5,1,1,0.7,0.76125,0.0839625,4661
238,6,0,2,0.68,0.85,0.375617,1115
239,0,0,1,0.707059,0.561765,0.304659,4334
240,1,1,1,0.636667,0.554583,0.159825,4634
241,2,1,1,0.639167,0.548333,0.125008,5204
242,3,1,1,0.656667,0.597917,0.0833333,5058
243,4,1,1,0.655,0.639167,0.141796,5115
244,5,1,2,0.643333,0.727083,0.139929,4727
245,6,0,1,0.669167,0.716667,0.185325,4484
246,0,0,1,0.709167,0.742083,0.206467,4940
247,1,0,2,0.673333,0.790417,0.212696,3351
248,2,1,3,0.54,0.886957,0.343943,2710
249,3,1,3,0.599167,0.917083,0.0970208,1996
250,4,1,3,0.633913,0.939565,0.192748,1842
251,5,1,2,0.65,0.897917,0.124379,3544
252,6,0,1,0.66,0.75375,0.153608,5345
253,0,0,1,0.653333,0.71375,0.115054,5046
254,1,1,1,0.644348,0.692174,0.088913,4713
255,2,1,1,0.650833,0.7125,0.141804,4763
256,3,1,1,0.673333,0.697083,0.1673,4785
257,4,1,2,0.5775,0.709167,0.271146,3659
258,5,1,2,0.469167,0.590417,0.164183,4760
259,6,0,2,0.491667,0.718333,0.189675,4511
260,0,0,1,0.5075,0.695,0.178483,4274
261,1,1,2,0.549167,0.69,0.151742,4539
262,2,1,2,0.561667,0.88125,0.134954,3641
263,3,1,2,0.595,0.9,0.0964042,4352
264,4,1,2,0.628333,0.902083,0.128125,4795
265,5,1,2,0.609167,0.9725,0.0783667,2395
266,6,0,2,0.606667,0.8625,0.0783833,5423
267,0,0,2,0.634167,0.845,0.0503792,5010
268,1,1,2,0.649167,0.848333,0.1107,4630
269,2,1,2,0.636667,0.885417,0.118171,4120
270,3,1,2,0.635,0.84875,0.148629,3907
271,4,1,1,0.616667,0.699167,0.172883,4839
272,5,1,1,0.564167,0.6475,0.206475,5202
273,6,0,2,0.41,0.75375,0.292296,2429
274,0,0,2,0.356667,0.791667,0.222013,2918
275,1,1,2,0.384167,0.760833,0.0833458,3570
276,2,1,1,0.484167,0.71,0.205854,4456
277,3,1,1,0.538333,0.647917,0.17725,4826
278,4,1,1,0.494167,0.620833,0.134954,4765
279,5,1,1,0.510833,0.684167,0.0223917,4985
280,6,0,1,0.521667,0.70125,0.0454042,5409
281,0,0,1,0.540833,0.7275,0.06345,5511
282,1,0,1,0.570833,0.73375,0.0423042,5117
283,2,1,2,0.566667,0.80875,0.143042,4563
284,3,1,3,0.543333,0.90625,0.24815,2416
285,4,1,2,0.589167,0.896667,0.141787,2913
286,5,1,2,0.550833,0.71625,0.223883,3644
287,6,0,1,0.506667,0.483333,0.258083,5217
288,0,0,1,0.511667,0.486667,0.281717,5041
289,1,1,1,0.534167,0.579583,0.175379,4570
290,2,1,2,0.5325,0.701667,0.110087,4748
291,3,1,3,0.541739,0.895217,0.243339,2424
292,4,1,1,0.475833,0.63625,0.422275,4195
293,5,1,1,0.4275,0.574167,0.221396,4304
294,6,0,1,0.4225,0.629167,0.0926667,4308
295,0,0,1,0.421667,0.74125,0.0995125,4381
296,1,1,1,0.463333,0.772083,0.118792,4187
297,2,1,1,0.471667,0.622917,0.166658,4687
298,3,1,2,0.484167,0.720417,0.148642,3894
299,4,1,2,0.47,0.812917,0.197763,2659
300,5,1,2,0.330833,0.585833,0.229479,3747
301,6,0,3,0.254167,0.8825,0.351371,627
302,0,0,1,0.319167,0.62375,0.176617,3331
303,1,1,1,0.34,0.703333,0.10635,3669
304,2,1,1,0.400833,0.68375,0.135571,4068
305,3,1,1,0.3775,0.71875,0.0820917,4186
306,4,1,1,0.408333,0.702083,0.136817,3974
307,5,1,2,0.403333,0.6225,0.271779,4046
308,6,0,1,0.326667,0.519167,0.189062,3926
309,0,0,1,0.348333,0.734583,0.0920542,3649
310,1,1,1,0.395,0.75875,0.057225,4035
311,2,1,1,0.408333,0.721667,0.0690375,4205
312,3,1,1,0.4,0.758333,0.0621958,4109
313,4,1,2,0.38,0.813333,0.189067,2933
314,5,0,1,0.324167,0.44625,0.314675,3368
315,6,0,1,0.356667,0.552917,0.212062,4067
316,0,0,1,0.440833,0.458333,0.281721,3717
317,1,1,1,0.53,0.587083,0.306596,4486
318,2,1,2,0.53,0.68875,0.199633,4195
319,3,1,3,0.456667,0.93,0.136829,1817
320,4,1,2,0.341667,0.575833,0.305362,3053
321,5,1,1,0.274167,0.41,0.168533,3392
322,6,0,1,0.329167,0.502083,0.224496,3663
323,0,0,2,0.463333,0.684583,0.18595,3520
324,1,1,3,0.4475,0.91,0.138054,2765
325,2,1,3,0.416667,0.9625,0.118792,1607
326,3,1,2,0.440833,0.757917,0.335825,2566
327,4,0,1,0.373333,0.549167,0.167304,1495
328,5,1,1,0.375,0.64375,0.0988958,2792
329,6,0,1,0.375833,0.681667,0.0684208,3068
330,0,0,1,0.459167,0.698333,0.208954,3071
331,1,1,1,0.503478,0.743043,0.142122,3867
332,2,1,2,0.458333,0.830833,0.258092,2914
333,3,1,1,0.325,0.613333,0.271158,3613
334,4,1,1,0.3125,0.524583,0.220158,3727
335,5,1,1,0.314167,0.625833,0.100754,3940
336,6,0,1,0.299167,0.612917,0.0957833,3614
337,0,0,1,0.330833,0.775833,0.0839583,3485
338,1,1,2,0.385833,0.827083,0.0622083,3811
339,2,1,3,0.4625,0.949583,0.232583,2594
340,3,1,3,0.41,0.970417,0.266175,705
341,4,1,1,0.265833,0.58,0.240058,3322
342,5,1,1,0.290833,0.695833,0.0827167,3620
343,6,0,1,0.275,0.5075,0.233221,3190
344,0,0,1,0.220833,0.49,0.0665417,2743
345,1,1,1,0.238333,0.670833,0.06345,3310
346,2,1,1,0.2825,0.59,0.14055,3523
347,3,1,2,0.3175,0.66375,0.0609583,3740
348,4,1,2,0.4225,0.634167,0.268042,3709
349,5,1,2,0.375,0.500417,0.260575,3577
350,6,0,2,0.258333,0.560833,0.243167,2739
351,0,0,1,0.238333,0.58625,0.169779,2431
352,1,1,1,0.276667,0.6375,0.172896,3403
353,2,1,2,0.385833,0.595417,0.0615708,3750
354,3,1,2,0.428333,0.858333,0.2214,2660
355,4,1,2,0.423333,0.7575,0.047275,3068
356,5,1,1,0.373333,0.68625,0.274246,2209
357,6,0,1,0.3025,0.5425,0.190304,1011
358,0,0,1,0.274783,0.681304,0.155091,754
359,1,0,1,0.321739,0.506957,0.239465,1317
360,2,1,2,0.325,0.7625,0.18845,1162
361,3,1,1,0.29913,0.503913,0.293961,2302
362,4,1,1,0.248333,0.574167,0.119412,2423
363,5,1,1,0.311667,0.636667,0.134337,2999
364,6,0,1,0.41,0.615833,0.220154,2485
